,99,101,103,105,107,109,111,113,115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,159
43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,3,3,3,3,3,3,3,3,3
41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3
39,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3
37,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3
35,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2
33,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
29,5,5,5,5,5,5,5,5,5,4,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,5,5,5,5,5,5,5,5,5,4,2,2,2,2,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1
25,5,5,5,5,5,4,4,4,4,4,2,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,5,5,5,4,4,4,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,5,5,5,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,5,5,5,4,2,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
17,5,5,5,4,4,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,4,4,4,4,4,4,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,4,2,4,4,4,4,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
11,4,2,2,4,4,2,2,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
9,4,2,2,2,2,2,2,1,1,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1
7,4,4,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,2,4,4,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,5,2,2,2,2,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,3,3,3,3,3,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
